Provider,AvgNormalizedPrice,VariantCount,StdDevNormalizedPrice,AvgPricePerGPU,AvgOriginalPrice
Replicate,0.0282,2,0.0377,0.0282,2.7458
AtlasCloud,0.035,1,,0.035,3.5
Gcore,0.4055,1,,0.4055,3.2438
SharonAI,0.4887,2,0.016,0.5,0.5
Atlantic.net,1.5944,1,,1.67,1.67
Genesis Cloud,1.6,4,0.0,1.6,1.6
Leaseweb,1.6219,2,0.0,1.6219,2.4328
DataCrunch,1.86,3,0.7448,1.86,1.86
Fal.AI,1.89,2,0.0,1.89,1.89
HyperStack,2.0539,6,0.2686,2.0833,2.0833
CUDO Compute,2.0577,8,0.6297,1.8425,1.8425
GMICloud,2.1,1,,2.1,2.1
VoltagePark,2.115,4,0.25,2.115,2.115
AceCloud,2.204,1,,2.204,220.4
Hostkey,2.3506,1,,2.3506,2.3506
EdgeVana,2.5,1,,2.5,2.5
Koyeb,2.5,3,0.0,2.5,5.8333
RunPod,2.519,6,0.1371,2.4233,2.4233
Neysa.ai,2.55,1,,2.55,2.55
Civo,2.7099,24,0.2918,2.4067,9.71
Qubrid,2.73,1,,2.73,2.73
Seeweb,2.762,1,,2.762,2.762
HydraHost,2.775,2,0.6718,2.775,2.775
Ori,2.9,1,,2.9,2.9
Nebius,2.95,1,,2.95,2.95
Lambda Labs,3.0233,3,0.7506,3.0233,3.0233
OVHcloud,3.1032,1,,3.1032,3.1032
Crusoe,3.1225,4,0.5718,3.1225,3.1225
JarvisLabs,3.4425,4,4.5402,3.4425,3.4425
E2E Networks,3.6011,9,1.273,3.6011,14.4717
Modal,3.95,1,,3.95,3.95
Vast.ai,3.9908,3,3.6463,4.15,4.15
GPU-Mart,4.16,1,,4.16,4.16
TaigaCloud,5.6,3,4.8497,5.6,14.9333
LeaderGPU,5.9039,3,6.1851,5.9039,11.8078
Microsoft Azure,6.08,2,0.0,6.08,6.08
Amazon Web Services,6.88,1,,6.88,6.88
Baseten,6.9997,2,0.7067,5.125,5.125
Massed Compute,9.7527,3,10.3088,9.67,9.67
Google Cloud,11.092,10,0.3613,11.092,49.9138
ShaktiCloud,69.594,4,132.1286,69.594,69.594
Atlantic.Net,634.9567,8,1168.7439,665.0559,674.9092
Latitude.sh,,0,,,
